"CO_ENTIDAD";"Centro";"Leste";"Norte";"Oeste";"S.F. Xavier";"Sudeste";"Sul";"Zona Rural"
35001557;;;;;;;1;
35004243;;;;;;1;;
35007525;;;;;;;1;
35013481;;1;;;;;;
35013493;;;;;;;1;
35013500;;;1;;;;;
35013511;;;1;;;;;
35013547;1;;;;;;;
35013559;;;1;;;;;
35013572;;1;;;;;;
35013584;;;;;;1;;
35013596;;1;;;;;;
35013602;;;;;;;1;
35013626;1;;;;;;;
35013638;;;1;;;;;
35013648;;;1;;;;;
35013651;;;1;;;;;
35013778;;;;;;;1;
35013791;1;;;;;;;
35013869;;;;;;1;;
35013894;1;;;;;;;
35013912;1;;;;;;;
35013924;;;1;;;;;
35013948;1;;;;;;;
35035385;;;;;;;1;
35035397;;1;;;;;;
35037837;;;;;;;1;
35037849;;;1;;;;;
35039640;;;;;;;1;
35042316;;;;;;;1;
35042336;;;;;;1;;
35045469;;;;;;;1;
35045470;1;;;;;;;
35046826;;1;;;;;;
35047934;;;;;;;1;
35047946;;;;;;;1;
35047958;;;;;;;1;
35047961;;;;;;1;;
35056765;;1;;;;;;
35056777;;1;;;;;;
35056789;;;;;;;1;
35056790;;;1;;;;;
35056807;;;;;;1;;
35056819;;;;1;;;;
35056820;1;;;;;;;
35056832;;;;;;;1;
35056844;;;;;;;1;
35062480;;;;1;;;;
35062492;;;;;;;1;
35069048;;;1;;;;;
35069085;;1;;;;;;
35069097;;1;;;;;;
35070476;;;;;;;1;
35074925;;1;;;;;;
35078153;;1;;;;;;
35084621;;1;;;;;;
35086022;;;1;;;;;
35090050;;;;;;;1;
35090136;;;;;;;1;
35092241;;;;;;;1;
35092265;;;;;;1;;
35096672;;1;;;;;;
35121605;;;;;;;;1
35227900;;;1;;;;;
35227912;;1;;;;;;
35241982;;;;;;;1;
35241994;;;;;;;1;
35242007;;;;;;;1;
35271287;;1;;;;;;
35271299;;;;;;;1;
35271305;;1;;;;;;
35271457;;;1;;;;;
35281670;;1;;;;;;
35281682;;1;;;;;;
35281694;;;;;;;1;
35281700;;;;;1;;;
35359981;;;;;;;1;
35436987;1;;;;;;;
35436999;;1;;;;;;
35447535;;;;;;1;;
35447547;;;;;;;1;
35463814;;;;;;;1;
35463826;;1;;;;;;
35495300;;;;;;;1;
35497095;;;1;;;;;
35581297;;1;;;;;;
35901532;;;;;;1;;
35901556;;;;;;;1;
35901568;;;;;;1;;
35901573;;1;;;;;;
35901581;;1;;;;;;
35902548;;1;;;;;;
35905100;;;;1;;;;
35905112;;1;;;;;;
35905124;;;;;;;;1
35912712;;1;;;;;;
35915026;;1;;;;;;
35916304;;1;;;;;;
35917254;;;;;;;1;
35917266;;1;;;;;;
35917448;;1;;;;;;
35917597;;1;;;;;;
35919724;;;;;;;1;
35919731;;;;;;;1;
35919755;;;;;;;1;
35920459;;1;;;;;;
35921282;;;;;;;1;
35922857;;;;;;1;;
35925925;;;;;;1;;
